chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chrom6	83531	109528	0.123204	0.203950	0.158515	0.065422
Chrom6	96238	115198	0.091151	0.183957	0.137428	0.049116
Chrom6	109581	118415	0.051092	0.210695	0.158561	0.026147
Chrom6	115214	120953	0.031742	0.211707	0.150655	0.015541
Chrom6	118429	124494	0.037441	0.198227	0.159114	0.019344
Chrom6	120963	131107	0.082621	0.273237	0.217398	0.045244
Chrom6	124731	142061	0.055493	0.183782	0.125432	0.027027
Chrom6	132189	150647	-0.041643	-0.196889	-0.109780	-0.019133
Chrom6	142196	155781	-0.010281	-0.040016	-0.029194	-0.003214
Chrom6	150774	161196	0.054333	0.111045	0.092629	0.025644
Chrom6	156958	167726	0.027762	0.066005	0.048870	0.011394
Chrom6	161268	175135	0.004249	0.023128	0.014375	0.002080
Chrom6	167737	182258	0.024061	0.104909	0.068900	0.010614
Chrom6	175192	183109	0.048856	0.176202	0.134113	0.023353
Chrom6	182277	184332	0.049054	0.160825	0.129914	0.026510
Chrom6	183127	185288	0.049278	0.112836	0.094694	0.021208
Chrom6	184391	186914	0.027384	0.070898	0.056858	0.009648
Chrom6	185359	192476	0.043335	0.207831	0.161238	0.013938
Chrom6	186978	197867	0.097965	0.286713	0.231443	0.031812
Chrom6	193863	200689	0.116089	0.181829	0.150473	0.046607
Chrom6	197886	203342	0.055682	0.118290	0.102987	0.028024
Chrom6	200778	208374	0.049854	0.187925	0.149699	0.027667
Chrom6	203420	211066	0.070738	0.309361	0.240544	0.035199
Chrom6	208594	212387	0.078605	0.401658	0.245446	0.033310
Chrom6	211286	214607	0.064105	0.319832	0.211120	0.029169
Chrom6	212468	218427	0.030389	0.177751	0.141770	0.014339
Chrom6	214609	223496	0.037479	0.224427	0.172809	0.016908
Chrom6	219286	233309	0.083546	0.259192	0.243102	0.040405
Chrom6	223534	235594	0.053811	0.203706	0.175180	0.025039
Chrom6	233385	236746	0.057182	0.154595	0.134127	0.027469
Chrom6	235624	239890	0.069751	0.132657	0.118839	0.035781
Chrom6	236802	244280	0.047010	0.157754	0.136345	0.021069
Chrom6	240087	248836	0.054209	0.157549	0.144875	0.026716
Chrom6	244440	255598	0.048115	0.120052	0.108681	0.022988
Chrom6	250629	259411	0.048423	0.147459	0.137616	0.025433
Chrom6	255952	262159	0.030421	0.102831	0.095649	0.018920
Chrom6	259438	263532	0.042757	0.077793	0.071135	0.023476
Chrom6	262298	266074	0.078715	0.143075	0.125797	0.037884
Chrom6	263535	267717	0.056140	0.239105	0.198829	0.026685
Chrom6	266075	273171	0.022010	0.083664	0.068789	0.010576
Chrom6	267725	274565	0.011416	0.033451	0.022154	0.005586
Chrom6	273174	278554	0.026389	0.109246	0.066956	0.012839
Chrom6	275319	281267	0.056184	0.171543	0.147384	0.026493
Chrom6	278559	282877	0.083193	0.225190	0.216203	0.040881
Chrom6	281268	284858	0.084867	0.237948	0.215480	0.038553
Chrom6	282900	290985	0.058986	0.164831	0.141900	0.024871
