chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chrom9	14246	21813	0.026478	0.255505	0.167253	0.006406
Chrom9	17918	26620	0.021180	0.338827	0.190681	0.006420
Chrom9	22251	30304	0.005410	0.217801	0.088884	0.002321
Chrom9	26628	31440	0.001227	0.060176	0.020682	0.000359
Chrom9	30312	34404	-0.002588	-0.035921	-0.020259	-0.002134
Chrom9	31456	37463	-0.001248	-0.020412	-0.012619	-0.001299
Chrom9	34467	40683	0.005563	0.426942	0.224057	0.002702
Chrom9	37508	48112	-0.001317	-0.122861	-0.043192	-0.000648
Chrom9	40704	50631	0.013293	0.514261	0.243697	0.006300
Chrom9	48427	52387	0.034707	0.866962	0.550442	0.016952
Chrom9	50644	56545	0.031964	0.849912	0.652907	0.015096
Chrom9	52389	60037	0.013753	0.359206	0.274725	0.005622
Chrom9	56886	67272	-0.000171	-0.006131	-0.003744	-0.000133
Chrom9	60193	75356	-0.004759	-0.204732	-0.095120	-0.002547
Chrom9	67286	81153	0.032369	0.438611	0.310507	0.013084
Chrom9	75626	88259	0.091489	0.445122	0.386064	0.039165
Chrom9	81282	103064	0.101325	0.314713	0.278205	0.045615
Chrom9	88581	112425	0.071943	0.280519	0.238079	0.034745
Chrom9	103844	117808	0.061393	0.185325	0.154490	0.029599
Chrom9	112448	126955	0.053961	0.157244	0.133500	0.024933
Chrom9	118050	129851	0.054343	0.215840	0.162559	0.024548
Chrom9	127023	132781	0.105974	0.240153	0.182644	0.043823
Chrom9	130003	154418	0.110254	0.228462	0.183174	0.042761
Chrom9	132864	165015	0.083783	0.217609	0.191074	0.036524
Chrom9	155688	171468	0.113051	0.231983	0.202824	0.048261
Chrom9	165545	173981	0.073767	0.153352	0.133895	0.027867
Chrom9	171614	182133	0.065500	0.203058	0.193451	0.032070
Chrom9	173998	182681	0.073236	0.331048	0.303547	0.036960
Chrom9	182139	185018	0.103145	0.405000	0.306490	0.049739
Chrom9	182715	188526	0.060949	0.388892	0.245480	0.026141
Chrom9	185023	192681	0.000972	0.012914	0.007898	0.000950
Chrom9	188530	194291	0.037412	0.291349	0.229964	0.018398
Chrom9	192739	195419	0.084897	0.565898	0.450970	0.039840
Chrom9	194360	196717	0.069745	0.571536	0.454849	0.032303
Chrom9	195421	197099	0.063618	0.606610	0.536862	0.032155
Chrom9	196727	198650	0.067436	0.366545	0.333719	0.035861
Chrom9	197100	203080	0.047901	0.218936	0.178120	0.021005
Chrom9	198755	205854	0.063059	0.424384	0.259392	0.025550
