chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chrom2	12364	22484	0.036705	0.238004	0.118325	0.016162
Chrom2	20416	27313	0.015838	0.146132	0.049205	0.007893
Chrom2	22692	34384	-0.045579	-0.484597	-0.093076	-0.015617
Chrom2	27397	34853	0.020345	0.158320	0.059697	0.011093
Chrom2	34386	35593	0.056386	0.425799	0.320246	0.026425
Chrom2	34861	39942	0.012426	0.119810	0.062989	0.004501
Chrom2	35607	44123	0.041259	0.235507	0.153513	0.013842
Chrom2	40155	44556	0.090752	0.250467	0.218408	0.037689
Chrom2	44125	48179	0.198956	0.407016	0.315567	0.079858
Chrom2	44596	51849	0.149888	0.387088	0.277675	0.058219
Chrom2	48415	54823	0.014990	0.180318	0.070652	0.006412
Chrom2	51925	56591	0.019812	0.134348	0.081952	0.007376
Chrom2	54883	57317	-0.105677	-0.338266	-0.137853	-0.042964
Chrom2	56637	57715	-0.419832	7.089274	-0.406917	-0.224237
Chrom2	57338	59546	-0.268622	22.081810	-0.304106	-0.128590
Chrom2	57776	60448	0.041293	0.121403	0.047809	0.031697
Chrom2	59811	61045	0.112651	0.129357	0.088480	0.044661
Chrom2	60462	65115	0.061649	0.116461	0.065584	0.014716
Chrom2	61054	65976	0.032987	0.095454	0.038753	0.009413
Chrom2	65140	68039	-0.018926	-0.080393	-0.026469	-0.006280
Chrom2	65978	69376	0.033323	0.082922	0.055585	0.012483
Chrom2	68050	76190	0.093564	0.178984	0.151275	0.040740
Chrom2	69399	78044	0.125010	0.194599	0.155135	0.045193
Chrom2	76223	80412	0.085147	0.146610	0.107754	0.027224
Chrom2	78091	82809	0.114920	0.246686	0.186818	0.053397
Chrom2	80433	85691	0.120393	0.325631	0.258805	0.059870
Chrom2	83177	86289	0.001806	0.030142	0.012027	0.002488
Chrom2	85704	86634	0.088139	0.712342	0.473774	0.044171
Chrom2	86354	95257	0.106754	0.638717	0.555798	0.047716
Chrom2	86643	107089	0.031721	0.237557	0.183550	0.010791
Chrom2	95322	109402	0.053749	0.213177	0.158655	0.015149
Chrom2	107218	117156	0.081766	0.283824	0.196170	0.025038
Chrom2	109691	121537	0.043504	0.203018	0.104542	0.012736
Chrom2	117184	132547	0.031494	0.135668	0.076189	0.009122
Chrom2	121638	134518	0.063005	0.215841	0.158510	0.022033
Chrom2	132613	135534	0.072826	0.170993	0.118054	0.023371
Chrom2	134519	137775	-0.000238	-0.000683	-0.000391	-0.007102
Chrom2	135575	140082	-0.018615	-0.110517	-0.053576	-0.009990
Chrom2	138010	142320	-0.005764	-0.025732	-0.016093	-0.006591
Chrom2	140208	144191	0.058098	0.110553	0.091947	0.018486
Chrom2	142339	153036	0.067128	0.187254	0.163583	0.024863
Chrom2	144217	157303	0.011154	0.135551	0.052236	0.001159
Chrom2	153056	173231	0.005490	0.027216	0.013692	-0.001741
Chrom2	158151	175121	0.074030	0.158734	0.131292	0.027440
Chrom2	173353	176538	0.096570	0.254372	0.232170	0.036402
Chrom2	175154	181545	0.028598	0.098432	0.081397	0.010385
Chrom2	176598	185656	0.019986	0.053674	0.046591	0.006067
Chrom2	181832	192414	0.115770	0.331796	0.307954	0.047829
Chrom2	185710	199031	0.175206	0.586316	0.520195	0.072132
Chrom2	192753	213120	0.182628	0.417589	0.300837	0.069505
Chrom2	204316	220054	0.202148	0.409298	0.293429	0.078828
Chrom2	213377	225785	0.182872	0.398276	0.281710	0.073971
Chrom2	220911	233276	0.068138	0.182768	0.109278	0.028408
Chrom2	225801	244204	0.070308	0.205136	0.137026	0.029780
Chrom2	233321	247140	0.058571	0.217049	0.129555	0.023221
Chrom2	244276	249586	0.045124	0.320330	0.145959	0.018184
Chrom2	247391	251221	0.047643	0.353530	0.188632	0.021759
Chrom2	249645	251937	-0.092888	8.345412	-0.391838	-0.039751
Chrom2	251321	252470	-0.222657	1.187470	-0.638611	-0.097357
Chrom2	251950	261817	-0.132136	0.926080	-0.565430	-0.058615
Chrom2	252493	264741	-0.023067	-3.042493	-0.255643	-0.010432
Chrom2	261847	275337	-0.030451	-0.334705	-0.183545	-0.013835
Chrom2	264875	283589	-0.039566	-0.243998	-0.169199	-0.019185
Chrom2	275573	285284	0.004675	0.037130	0.022467	0.004610
Chrom2	283610	286165	0.021158	0.495719	0.091416	0.009162
Chrom2	285285	287293	-0.017204	-0.231546	-0.045989	-0.016058
Chrom2	286223	289582	-0.005115	-0.027032	-0.007100	-0.016592
Chrom2	287383	301694	0.054402	0.286459	0.082306	0.015562
Chrom2	289597	312662	0.094732	0.545022	0.265962	0.044745
Chrom2	302317	314736	0.088594	0.352489	0.230854	0.042772
Chrom2	312663	315847	0.018932	0.061738	0.039802	0.007076
Chrom2	314872	316791	-0.003870	-0.009621	-0.005855	-0.013103
Chrom2	315848	319783	0.072478	0.162969	0.123216	0.025943
Chrom2	316873	322908	0.106935	0.231943	0.187426	0.042552
Chrom2	319999	325241	0.054654	0.185614	0.128824	0.018656
Chrom2	323013	342838	0.053168	0.411802	0.196384	0.022290
Chrom2	325413	345549	0.007252	0.075297	0.018575	0.004257
Chrom2	343205	346531	-0.114482	-0.681939	-0.168812	-0.047447
Chrom2	345553	346944	-0.081563	-0.196743	-0.083945	-0.028890
Chrom2	346532	348816	-0.181771	-1.441989	-0.224875	-0.095381
Chrom2	346970	364914	-0.091736	-4.850959	-0.226290	-0.041059
Chrom2	349131	368856	0.094865	0.401026	0.233694	0.046085
Chrom2	365319	375330	0.091510	0.423199	0.255655	0.044824
Chrom2	369749	379098	0.087399	0.405330	0.201937	0.052908
Chrom2	375679	383969	0.126793	0.409769	0.221381	0.077726
Chrom2	379107	406795	-0.015542	-0.200383	-0.026763	-0.011442
Chrom2	384790	430664	-0.123263	2.168508	-0.182564	-0.058897
Chrom2	408078	439434	0.116576	0.232645	0.115242	0.050427
Chrom2	432124	443945	0.299875	0.351729	0.253333	0.163491
Chrom2	439524	444772	0.089442	0.314887	0.225044	0.056885
Chrom2	444045	445279	0.100298	0.449126	0.379873	0.058900
Chrom2	444801	445861	0.147950	0.623490	0.587033	0.082322
Chrom2	445310	447110	0.086956	0.558675	0.450308	0.047824
Chrom2	445879	447562	0.079469	0.437545	0.345961	0.044989
Chrom2	447122	448665	0.030098	0.373160	0.200125	0.012493
Chrom2	447569	449088	-0.004040	-0.326698	-0.037949	-0.001592
Chrom2	448682	449404	0.000606	0.040849	0.005103	0.003791
Chrom2	449102	465995	0.062666	0.314878	0.207761	0.031765
Chrom2	449420	476709	0.137189	0.292719	0.207978	0.064666
Chrom2	466325	487281	0.158128	0.374223	0.273362	0.064693
Chrom2	476840	493438	0.152013	0.404108	0.367053	0.053714
Chrom2	487360	498705	0.078248	0.222424	0.194692	0.029375
Chrom2	493784	499257	0.061148	0.381834	0.291936	0.027964
Chrom2	498735	500417	0.035991	0.409971	0.227700	0.015566
Chrom2	499279	503221	0.034670	0.311182	0.178030	0.013121
Chrom2	500431	505143	0.088325	0.539506	0.347234	0.039094
Chrom2	503237	506019	0.108684	0.341551	0.225212	0.048183
Chrom2	505149	506742	0.138184	0.150264	0.084621	0.064938
