chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chrom5	7072	16017	-0.001262	-0.059864	-0.016926	-0.001262
Chrom5	12173	22258	-0.011939	-0.210624	-0.056398	-0.007286
Chrom5	16069	23553	-0.048329	-0.286138	-0.096125	-0.021080
Chrom5	22352	24802	-0.064266	-0.287294	-0.090166	-0.021114
Chrom5	23575	26137	0.002480	0.008249	0.002403	0.007807
Chrom5	24838	26964	-0.019796	-0.051945	-0.014437	0.002147
Chrom5	26142	27250	-0.059736	-0.399008	-0.083787	-0.022920
Chrom5	26989	27534	0.014680	0.082393	0.030639	0.003248
Chrom5	27277	32349	0.066756	0.268291	0.141440	0.027654
Chrom5	27535	34027	0.133747	0.208666	0.159248	0.060042
Chrom5	32402	35690	0.178426	0.125969	0.105494	0.070746
Chrom5	34050	36913	0.181671	0.105672	0.083962	0.078014
Chrom5	35781	38808	0.206270	0.100118	0.071993	0.088570
Chrom5	36922	42264	0.105137	0.048072	0.027082	0.011445
Chrom5	38982	43663	-0.055194	-0.038789	-0.015793	-0.016268
Chrom5	42288	51339	0.097256	0.169278	0.091345	0.021115
Chrom5	43869	56797	0.116591	0.231352	0.214504	0.041939
Chrom5	52138	61947	0.097071	0.180213	0.149456	0.033791
Chrom5	57919	63633	0.143063	0.211633	0.171309	0.053980
Chrom5	62028	66274	0.076045	0.176887	0.151165	0.031567
Chrom5	63848	78931	0.010725	0.060732	0.040798	0.002557
Chrom5	66483	85375	-0.011171	-0.070297	-0.033874	-0.003572
Chrom5	79035	86578	-0.138607	-2.342130	-0.206838	-0.050859
Chrom5	85381	95838	-0.065040	-2.342666	-0.164925	-0.023963
Chrom5	89241	100454	0.025581	0.368497	0.215010	0.009615
Chrom5	95909	107606	0.008908	0.128974	0.087101	0.004495
Chrom5	100474	133643	0.038677	0.341236	0.273933	0.018422
Chrom5	107730	143100	0.056838	0.459230	0.360442	0.025258
Chrom5	139950	151416	0.031931	0.238459	0.180191	0.012130
Chrom5	143549	152021	0.022627	0.174601	0.090777	0.009438
Chrom5	151451	152856	-0.052702	-0.381570	-0.142798	-0.021498
Chrom5	152036	153485	-0.072938	-0.330693	-0.162955	-0.034928
Chrom5	152915	162101	0.015915	0.124241	0.071175	0.003508
Chrom5	153526	169288	0.046860	0.281813	0.189603	0.017521
Chrom5	162878	179475	0.063940	0.382977	0.251679	0.025101
Chrom5	169294	192403	0.171710	0.683713	0.522166	0.070731
Chrom5	181086	199979	0.225522	0.602785	0.464642	0.093469
Chrom5	194064	213949	0.039408	0.280341	0.114278	0.009826
Chrom5	200294	218298	0.002988	0.040708	0.013902	0.000937
Chrom5	214548	223316	0.052785	0.286968	0.213037	0.025046
Chrom5	218303	228013	-0.086130	-1.418152	-0.285266	-0.036507
Chrom5	223331	228523	-0.141564	5.280146	-0.428353	-0.061911
Chrom5	228213	230793	0.030817	0.251216	0.119592	0.019576
Chrom5	228530	231612	0.028494	0.241187	0.151180	0.014709
Chrom5	230840	233092	0.049767	0.460435	0.314019	0.023241
Chrom5	231882	234048	0.091455	0.711180	0.574837	0.044334
Chrom5	233097	244692	0.117234	0.531516	0.465893	0.056739
Chrom5	234085	246466	0.112389	0.498293	0.420271	0.052476
Chrom5	244699	247690	0.065564	0.572391	0.380580	0.030933
Chrom5	246679	255980	0.034244	0.335038	0.189254	0.015614
Chrom5	247723	261927	0.036326	0.361039	0.198746	0.017487
Chrom5	256741	272000	0.047931	0.415641	0.245091	0.019973
Chrom5	262284	286585	0.031127	0.202486	0.129992	0.008857
Chrom5	272208	287486	0.023517	0.178301	0.132836	0.007820
Chrom5	286599	292633	0.029464	0.240820	0.209740	0.014079
Chrom5	287492	300707	0.032875	0.249486	0.180571	0.011822
Chrom5	292662	310826	0.046253	0.284162	0.189750	0.014326
Chrom5	300712	315446	0.033482	0.237850	0.169814	0.011145
Chrom5	310834	319521	0.042448	0.346383	0.266404	0.015978
Chrom5	315447	321409	0.043902	0.293147	0.228246	0.017146
Chrom5	319762	323619	0.019251	0.217099	0.152711	0.007168
Chrom5	321674	328066	-0.010610	-0.365603	-0.095908	-0.005302
Chrom5	323638	332580	-0.038090	-0.509907	-0.181069	-0.019307
Chrom5	328540	337417	-0.024059	-0.168735	-0.073057	-0.014724
Chrom5	333041	349905	0.042509	0.205592	0.097364	0.012080
Chrom5	337437	366865	-0.013126	-0.098239	-0.036319	-0.008057
Chrom5	350506	374557	-0.042641	-0.806211	-0.170997	-0.019457
Chrom5	367319	378836	-0.002228	-0.032102	-0.010560	-0.002274
Chrom5	374591	380632	-0.031495	-0.267856	-0.100334	-0.015156
Chrom5	378908	386653	-0.012096	-0.072463	-0.035993	-0.006517
Chrom5	380728	390243	0.022638	0.148479	0.093934	0.010265
Chrom5	386668	393700	0.057590	0.312788	0.244581	0.024534
Chrom5	390309	407469	0.043398	0.216669	0.154770	0.017572
Chrom5	393748	415377	0.023812	0.080766	0.046651	0.003823
Chrom5	411812	426742	0.075393	0.131264	0.054692	0.017017
Chrom5	415399	441807	0.115865	0.258468	0.116780	0.049888
Chrom5	426853	445585	0.077572	0.382988	0.227125	0.030497
Chrom5	441883	448192	0.036058	0.485949	0.293690	0.014685
Chrom5	445749	450469	0.008014	0.229155	0.100847	0.002984
Chrom5	448209	452964	0.000327	0.009024	0.003466	-0.001058
Chrom5	450620	456865	0.019860	0.283055	0.147332	0.007709
Chrom5	452975	460714	0.010519	0.234241	0.123975	0.004860
Chrom5	456879	462693	0.002643	0.081712	0.057352	0.001486
Chrom5	461167	465117	0.010676	0.241251	0.221384	0.005724
Chrom5	462720	467678	0.090792	0.639967	0.497791	0.042599
Chrom5	465382	469527	0.132371	0.624637	0.494907	0.070479
Chrom5	467705	471606	0.079807	0.376409	0.291953	0.040666
Chrom5	469637	473882	0.111906	0.426490	0.342097	0.051073
Chrom5	471637	476527	0.088412	0.413478	0.323850	0.040163
Chrom5	474087	478457	0.007258	0.057006	0.035381	0.003768
Chrom5	476554	480170	0.007166	0.056118	0.032675	0.003724
Chrom5	478507	481042	-0.017213	-0.083323	-0.048908	-0.011032
Chrom5	480190	481688	-0.040236	-0.161708	-0.080924	-0.022082
